Apparent Power VA

entity_id,state,last_changed
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:23:47.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:23:53.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:23:59.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:24:05.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:24:19.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:24:29.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:24:37.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:24:43.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:24:51.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:24:57.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:25:03.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:25:09.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:25:19.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:25:27.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:25:37.512Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:25:43.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:25:59.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:26:05.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:26:13.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:26:19.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:26:29.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:26:39.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:26:45.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:26:51.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:26:59.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:27:05.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:27:11.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:27:25.476Z
